fileName,attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85,attr86,attr87,attr88
2012121-R06-81XX.csv,321,1,4,1,1,1,1,1,10,1,10,1,14,1,10,1,5,1,5,1,1,1,1,1,1,1,1,5,5,5,5,1,5,5,1,5,5,1,5,1,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,1,119,1,4,1,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,83,1,5,1,5,1,5,1,5,1,5
2012121-R07-75XX.csv,1,214,1,7,8,8,8,8,1,8,1,8,1,8,1,7,1,8,1,8,8,8,8,8,8,8,8,1,1,1,1,7,1,1,7,1,1,7,1,7,1,1,1,1,7,1,1,4,1,1,1,1,1,1,1,1,8,1,91,1,7,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,7,1,7,1,7,1,7,1,7,1,7,1
2012121-R07-77XX.csv,4,1,236,1,1,1,1,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,4,4,4,4,1,4,4,1,4,4,1,4,1,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,6,1,4,1,21,1,1,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,6,1,6,1,6,1,6,1,6
2012121-R08-76XX.csv,1,7,1,356,8,8,8,8,1,8,1,8,1,8,1,7,1,8,1,8,8,8,8,8,8,8,8,1,1,1,1,7,1,1,7,1,1,7,1,7,1,1,1,1,7,1,1,3,1,1,1,1,1,1,1,1,8,1,6,1,10,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,7,1,7,1,7,1,7,1,7,1,7,1
20121210-R05-72XX.csv,1,8,1,8,364,364,362,353,1,351,1,325,1,346,1,175,1,252,1,253,327,335,335,361,362,362,361,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,252,1,13,1,8,251,1,251,1,252,1,252,1,252,1,252,1,251,1,251,1,66,1,63,1,62,1,62,1,62,1,62,1
20121211-R05-72XX.csv,1,8,1,8,364,364,362,353,1,351,1,325,1,346,1,175,1,252,1,253,327,335,335,361,362,362,361,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,252,1,13,1,8,251,1,251,1,252,1,252,1,252,1,252,1,251,1,251,1,66,1,63,1,62,1,62,1,62,1,62,1
20121212-R05-72XX.csv,1,8,1,8,362,362,364,355,1,353,1,325,1,348,1,175,1,252,1,253,325,333,333,359,360,360,359,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,252,1,13,1,8,251,1,251,1,252,1,252,1,252,1,252,1,251,1,251,1,66,1,63,1,62,1,62,1,62,1,62,1
20121217-R05-72XX.csv,1,8,1,8,353,353,355,363,1,361,1,325,1,348,1,175,1,252,1,253,325,327,327,353,353,353,353,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,252,1,13,1,8,251,1,251,1,252,1,252,1,252,1,252,1,251,1,251,1,66,1,63,1,62,1,62,1,62,1,62,1
20121217-R05-73XX.csv,10,1,4,1,1,1,1,1,582,1,582,1,167,1,564,1,172,1,160,1,1,1,1,1,1,1,1,15,21,27,11,1,13,9,1,9,11,1,9,1,13,13,29,7,1,7,7,1,5,33,37,35,29,33,31,9,1,9,1,4,1,1,120,1,53,1,122,1,122,1,122,1,122,1,120,1,120,1,32,1,5,1,5,1,5,1,5,1,5
20121218-R05-72XX.csv,1,8,1,8,351,351,353,361,1,361,1,323,1,348,1,175,1,252,1,253,323,325,325,351,351,351,351,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,252,1,13,1,8,251,1,251,1,252,1,252,1,252,1,252,1,251,1,251,1,66,1,63,1,62,1,62,1,62,1,62,1
20121218-R05-73XX.csv,10,1,4,1,1,1,1,1,582,1,590,1,167,1,568,1,172,1,160,1,1,1,1,1,1,1,1,15,21,27,11,1,13,9,1,9,11,1,9,1,13,13,29,7,1,7,7,1,5,33,37,35,29,33,31,9,1,9,1,4,1,1,122,1,53,1,124,1,126,1,126,1,126,1,120,1,120,1,32,1,5,1,5,1,5,1,5,1,5
2012122-R05-72XX.csv,1,8,1,8,325,325,325,325,1,323,1,373,1,321,1,150,1,227,1,227,356,331,331,331,331,331,331,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,226,1,13,1,8,226,1,226,1,226,1,226,1,226,1,226,1,226,1,226,1,65,1,62,1,62,1,62,1,62,1,62,1
2012122-R05-73XX.csv,14,1,4,1,1,1,1,1,167,1,167,1,565,1,163,1,67,1,67,1,1,1,1,1,1,1,1,27,15,17,13,1,13,9,1,13,13,1,15,1,13,13,31,9,1,9,9,1,5,17,17,19,17,19,21,5,1,40,1,4,1,1,67,1,40,1,67,1,67,1,67,1,67,1,67,1,67,1,58,1,5,1,5,1,5,1,5,1,5
20121220-R05-72XX.csv,1,8,1,8,346,346,348,348,1,348,1,321,1,356,1,175,1,252,1,252,321,321,321,346,346,346,346,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,251,1,13,1,8,251,1,251,1,251,1,251,1,251,1,251,1,251,1,251,1,65,1,62,1,62,1,62,1,62,1,62,1
20121220-R05-73XX.csv,10,1,4,1,1,1,1,1,564,1,568,1,163,1,578,1,172,1,160,1,1,1,1,1,1,1,1,15,21,27,11,1,13,9,1,9,11,1,9,1,11,13,27,7,1,7,7,1,5,33,37,35,29,33,31,9,1,9,1,4,1,1,120,1,53,1,122,1,124,1,124,1,124,1,120,1,120,1,32,1,9,1,9,1,9,1,9,1,9
20121222-R05-72XX.csv,1,7,1,7,175,175,175,175,1,175,1,150,1,175,1,179,1,179,1,179,150,150,150,175,175,175,175,1,1,1,1,9,1,1,9,1,1,22,1,22,1,1,1,1,10,1,1,11,1,1,1,1,1,1,1,1,178,1,13,1,7,178,1,178,1,178,1,178,1,178,1,178,1,178,1,178,1,22,1,20,1,20,1,20,1,20,1,20,1
20121222-R05-73XX.csv,5,1,4,1,1,1,1,1,172,1,172,1,67,1,172,1,439,1,427,1,1,1,1,1,1,1,1,7,23,29,9,1,11,9,1,9,11,1,9,1,11,13,19,7,1,7,7,1,5,21,25,29,31,47,31,37,1,5,1,4,1,1,172,1,209,1,375,1,375,1,375,1,375,1,365,1,365,1,11,1,17,1,17,1,17,1,17,1,17
20121223-R05-72XX.csv,1,8,1,8,252,252,252,252,1,252,1,227,1,252,1,179,1,270,1,270,227,227,227,252,252,252,252,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,259,1,13,1,8,259,1,259,1,259,1,259,1,259,1,259,1,259,1,259,1,65,1,62,1,62,1,62,1,62,1,62,1
20121223-R05-73XX.csv,5,1,4,1,1,1,1,1,160,1,160,1,67,1,160,1,427,1,427,1,1,1,1,1,1,1,1,7,23,29,9,1,11,9,1,9,11,1,9,1,11,13,19,7,1,7,7,1,5,21,25,29,31,47,31,37,1,5,1,4,1,1,172,1,209,1,375,1,375,1,375,1,375,1,365,1,365,1,11,1,17,1,17,1,17,1,17,1,17
20121224-R05-72XX.csv,1,8,1,8,253,253,253,253,1,253,1,227,1,252,1,179,1,270,1,272,227,227,227,253,253,253,253,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,261,1,13,1,8,260,1,260,1,261,1,261,1,261,1,260,1,259,1,260,1,66,1,63,1,62,1,62,1,62,1,62,1
2012123-R05-72XX.csv,1,8,1,8,327,327,325,325,1,323,1,356,1,321,1,150,1,227,1,227,368,337,337,337,337,337,337,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,226,1,13,1,8,226,1,226,1,226,1,226,1,226,1,226,1,226,1,226,1,65,1,62,1,62,1,62,1,62,1,62,1
2012124-R05-72XX.csv,1,8,1,8,335,335,333,327,1,325,1,331,1,321,1,150,1,227,1,227,337,370,370,345,345,345,345,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,226,1,13,1,8,226,1,226,1,226,1,226,1,226,1,226,1,226,1,226,1,65,1,62,1,62,1,62,1,62,1,62,1
2012125-R05-72XX.csv,1,8,1,8,335,335,333,327,1,325,1,331,1,321,1,150,1,227,1,227,337,370,370,345,345,345,345,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,226,1,13,1,8,226,1,226,1,226,1,226,1,226,1,226,1,226,1,226,1,65,1,62,1,62,1,62,1,62,1,62,1
2012126-R05-72XX.csv,1,8,1,8,361,361,359,353,1,351,1,331,1,346,1,175,1,252,1,253,337,345,345,371,371,371,371,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,252,1,13,1,8,251,1,251,1,252,1,252,1,252,1,252,1,251,1,251,1,66,1,63,1,62,1,62,1,62,1,62,1
2012127-R05-72XX.csv,1,8,1,8,362,362,360,353,1,351,1,331,1,346,1,175,1,252,1,253,337,345,345,371,372,372,371,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,252,1,13,1,8,251,1,251,1,252,1,252,1,252,1,252,1,251,1,251,1,66,1,63,1,62,1,62,1,62,1,62,1
2012128-R05-72XX.csv,1,8,1,8,362,362,360,353,1,351,1,331,1,346,1,175,1,252,1,253,337,345,345,371,372,372,371,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,252,1,13,1,8,251,1,251,1,252,1,252,1,252,1,252,1,251,1,251,1,66,1,63,1,62,1,62,1,62,1,62,1
2012129-R05-72XX.csv,1,8,1,8,361,361,359,353,1,351,1,331,1,346,1,175,1,252,1,253,337,345,345,371,371,371,371,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,252,1,13,1,8,251,1,251,1,252,1,252,1,252,1,252,1,251,1,251,1,66,1,63,1,62,1,62,1,62,1,62,1
201261-R05-73XX.csv,5,1,4,1,1,1,1,1,15,1,15,1,27,1,15,1,7,1,7,1,1,1,1,1,1,1,1,154,77,80,36,1,38,28,1,34,34,1,34,1,34,34,120,25,1,25,25,1,11,90,94,92,84,84,90,7,1,5,1,4,1,1,7,1,5,1,7,1,7,1,7,1,7,1,7,1,7,1,21,1,5,1,5,1,5,1,5,1,5
2012610-R05-73XX.csv,5,1,4,1,1,1,1,1,21,1,21,1,15,1,21,1,23,1,23,1,1,1,1,1,1,1,1,77,210,173,43,1,43,33,1,33,33,1,33,1,33,33,83,28,1,28,28,1,12,124,124,124,135,135,147,13,1,5,1,4,1,1,59,1,7,1,29,1,29,1,29,1,29,1,37,1,37,1,5,1,9,1,9,1,9,1,9,1,9
2012611-R05-73XX.csv,5,1,4,1,1,1,1,1,27,1,27,1,17,1,27,1,29,1,29,1,1,1,1,1,1,1,1,80,173,226,48,1,50,38,1,40,40,1,38,1,40,40,88,31,1,31,31,1,13,131,131,131,142,146,154,13,1,5,1,4,1,1,44,1,7,1,35,1,35,1,35,1,35,1,45,1,45,1,7,1,9,1,9,1,9,1,9,1,9
2012612-R05-73XX.csv,5,1,4,1,1,1,1,1,11,1,11,1,13,1,11,1,9,1,9,1,1,1,1,1,1,1,1,36,43,48,308,1,268,164,1,170,166,1,138,1,107,107,36,64,1,64,64,1,36,42,42,44,43,43,45,43,1,5,1,4,1,1,11,1,5,1,9,1,9,1,9,1,9,1,9,1,9,1,19,1,15,1,15,1,15,1,15,1,15
2012613-R05-72XX.csv,1,7,1,7,16,16,16,16,1,16,1,16,1,16,1,9,1,16,1,16,16,16,16,16,16,16,16,1,1,1,1,248,1,1,236,1,1,154,1,154,1,1,1,1,15,1,1,4,1,1,1,1,1,1,1,1,16,1,6,1,7,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,14,1,14,1,14,1,14,1,14,1,14,1
2012613-R05-73XX.csv,5,1,4,1,1,1,1,1,13,1,13,1,13,1,13,1,11,1,11,1,1,1,1,1,1,1,1,38,43,50,268,1,331,175,1,183,179,1,149,1,118,122,38,70,1,70,70,1,36,42,44,46,43,45,47,43,1,5,1,4,1,1,13,1,5,1,9,1,9,1,9,1,9,1,11,1,11,1,25,1,11,1,11,1,11,1,11,1,11
2012614-R05-73XX.csv,5,1,4,1,1,1,1,1,9,1,9,1,9,1,9,1,9,1,9,1,1,1,1,1,1,1,1,28,33,38,164,1,175,391,1,387,379,1,349,1,320,290,28,74,1,74,74,1,36,34,34,34,35,35,37,13,1,5,1,4,1,1,9,1,5,1,9,1,9,1,9,1,9,1,9,1,9,1,23,1,7,1,7,1,7,1,7,1,7
2012615-R05-72XX.csv,1,7,1,7,16,16,16,16,1,16,1,16,1,16,1,9,1,16,1,16,16,16,16,16,16,16,16,1,1,1,1,236,1,1,244,1,1,160,1,154,1,1,1,1,15,1,1,4,1,1,1,1,1,1,1,1,16,1,6,1,7,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,14,1,14,1,14,1,14,1,14,1,14,1
2012615-R05-73XX.csv,5,1,4,1,1,1,1,1,9,1,9,1,13,1,9,1,9,1,9,1,1,1,1,1,1,1,1,34,33,40,170,1,183,387,1,409,393,1,359,1,328,300,34,74,1,74,74,1,36,36,38,40,37,39,41,15,1,5,1,4,1,1,9,1,5,1,9,1,9,1,9,1,9,1,9,1,9,1,29,1,7,1,7,1,7,1,7,1,7
2012616-R05-73XX.csv,5,1,4,1,1,1,1,1,11,1,11,1,13,1,11,1,11,1,11,1,1,1,1,1,1,1,1,34,33,40,166,1,179,379,1,393,405,1,363,1,332,304,34,74,1,74,74,1,36,36,40,42,37,39,41,15,1,5,1,4,1,1,11,1,5,1,11,1,11,1,11,1,11,1,11,1,11,1,25,1,7,1,7,1,7,1,7,1,7
2012617-R05-72XX.csv,1,7,1,7,38,38,38,38,1,38,1,38,1,38,1,22,1,38,1,38,38,38,38,38,38,38,38,1,1,1,1,154,1,1,160,1,1,233,1,217,1,1,1,1,19,1,1,39,1,1,1,1,1,1,1,1,38,1,14,1,7,38,1,38,1,38,1,38,1,38,1,38,1,38,1,38,1,36,1,30,1,30,1,30,1,30,1,30,1
2012617-R05-73XX.csv,5,1,4,1,1,1,1,1,9,1,9,1,15,1,9,1,9,1,9,1,1,1,1,1,1,1,1,34,33,38,138,1,149,349,1,359,363,1,391,1,344,316,34,88,1,90,88,1,40,36,36,38,37,37,41,17,1,5,1,4,1,1,9,1,5,1,9,1,9,1,9,1,9,1,9,1,9,1,25,1,9,1,7,1,7,1,7,1,7
2012618-R05-72XX.csv,1,7,1,7,38,38,38,38,1,38,1,38,1,38,1,22,1,38,1,38,38,38,38,38,38,38,38,1,1,1,1,154,1,1,154,1,1,217,1,231,1,1,1,1,19,1,1,39,1,1,1,1,1,1,1,1,38,1,14,1,7,38,1,38,1,38,1,38,1,38,1,38,1,38,1,38,1,36,1,30,1,30,1,30,1,30,1,30,1
2012618-R05-73XX.csv,5,1,4,1,1,1,1,1,13,1,13,1,13,1,11,1,11,1,11,1,1,1,1,1,1,1,1,34,33,40,107,1,118,320,1,328,332,1,344,1,385,347,34,90,1,92,90,1,40,36,40,42,37,39,41,17,1,5,1,4,1,1,11,1,5,1,11,1,11,1,11,1,11,1,11,1,11,1,25,1,11,1,9,1,9,1,9,1,9
2012619-R05-73XX.csv,5,1,4,1,1,1,1,1,13,1,13,1,13,1,13,1,13,1,13,1,1,1,1,1,1,1,1,34,33,40,107,1,122,290,1,300,304,1,316,1,347,526,34,244,1,228,226,1,142,36,40,42,37,39,41,17,1,5,1,4,1,1,13,1,5,1,11,1,11,1,11,1,11,1,13,1,13,1,25,1,13,1,11,1,11,1,11,1,11
